User-ID,Book-Title,Book-Author,Book-Rating,num_ratings,avg_ratings,Image-URL-S,Title-Author
254,Girl with a Pearl Earring,Tracy Chevalier,0,526,4.218631178707224,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg,Girl with a Pearl Earring by Tracy Chevalier
254,She's Come Undone (Oprah's Book Club),Wally Lamb,7,468,3.5705128205128207,http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg,She's Come Undone (Oprah's Book Club) by Wally Lamb
254,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,0,237,2.9746835443037973,http://images.amazon.com/images/P/051513287X.01.THUMBZZZ.jpg,Face the Fire (Three Sisters Island Trilogy) by Nora Roberts
254,The Notebook,Nicholas Sparks,0,650,3.56,http://images.amazon.com/images/P/0446605239.01.THUMBZZZ.jpg,The Notebook by Nicholas Sparks
254,A Bend in the Road,Nicholas Sparks,0,346,3.3641618497109826,http://images.amazon.com/images/P/0446527785.01.THUMBZZZ.jpg,A Bend in the Road by Nicholas Sparks
254,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,9,556,5.183453237410072,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg,Harry Potter and the Chamber of Secrets (Book 2) by J. K. Rowling
254,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,9,428,5.852803738317757,http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg,Harry Potter and the Prisoner of Azkaban (Book 3) by J. K. Rowling
254,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,9,336,4.0,http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg,"The Golden Compass (His Dark Materials, Book 1) by PHILIP PULLMAN"
254,The Secret Life of Bees,Sue Monk Kidd,9,774,4.447028423772609,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,The Secret Life of Bees by Sue Monk Kidd
254,The Poisonwood Bible: A Novel,Barbara Kingsolver,0,494,3.6093117408906883,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,The Poisonwood Bible: A Novel by Barbara Kingsolver
254,Pet Sematary,Stephen King,0,238,3.3949579831932772,http://images.amazon.com/images/P/0451150244.01.THUMBZZZ.jpg,Pet Sematary by Stephen King
254,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,9,387,5.8242894056847545,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg,Harry Potter and the Goblet of Fire (Book 4) by J. K. Rowling
254,Circle of Friends,Maeve Binchy,0,249,3.0562248995983934,http://images.amazon.com/images/P/0440211263.01.THUMBZZZ.jpg,Circle of Friends by Maeve Binchy
254,The Bonesetter's Daughter,Amy Tan,9,384,3.390625,http://images.amazon.com/images/P/0399146431.01.THUMBZZZ.jpg,The Bonesetter's Daughter by Amy Tan
254,Lord of the Flies,William Gerald Golding,0,259,3.8185328185328187,http://images.amazon.com/images/P/0399501487.01.THUMBZZZ.jpg,Lord of the Flies by William Gerald Golding
254,Me Talk Pretty One Day,David Sedaris,0,457,3.7527352297593,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,Me Talk Pretty One Day by David Sedaris
254,The Cider House Rules,John Irving,0,393,2.969465648854962,http://images.amazon.com/images/P/0345387651.01.THUMBZZZ.jpg,The Cider House Rules by John Irving
254,Bridget Jones's Diary,Helen Fielding,0,815,3.5276073619631902,http://images.amazon.com/images/P/014028009X.01.THUMBZZZ.jpg,Bridget Jones's Diary by Helen Fielding
254,White Oleander : A Novel,Janet Fitch,0,387,3.5064599483204133,http://images.amazon.com/images/P/0316569321.01.THUMBZZZ.jpg,White Oleander : A Novel by Janet Fitch
254,Snow Falling on Cedars,David Guterson,0,662,3.2522658610271904,http://images.amazon.com/images/P/067976402X.01.THUMBZZZ.jpg,Snow Falling on Cedars by David Guterson
